mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	2/4	2	1	1/8		1/8	1.0		1	55		6
1	1	0	0	2/4	1	1	1/16		1/16	1.0		2	74		0
1	1	1/16	1/16	2/4	1	1	1/16		1/16	1.0		7	73		1
1	1	1/8	1/8	2/4	2	1	1/8		1/8	1.0		5	59		7
1	1	1/8	1/8	2/4	2	1	1/8		1/8	1.0		2	62		7
1	1	1/8	1/8	2/4	2	1	1/8		1/8	1.0		1	67		7
1	1	1/8	1/8	2/4	1	1	1/16		1/16	1.0		2	74		2
1	1	3/16	3/16	2/4	1	1	1/16		1/16	1.0		4	76		3
1	1	1/4	1/4	2/4	2	1	1/8		1/8	1.0		1	55		8
1	1	1/4	1/4	2/4	1	1	1/8		1/8	1.0		2	74		4
1	1	3/8	3/8	2/4	2	1	1/8		1/8	1.0		5	59		9
1	1	3/8	3/8	2/4	2	1	1/8		1/8	1.0		2	62		9
1	1	3/8	3/8	2/4	2	1	1/8		1/8	1.0		1	67		9
1	1	3/8	3/8	2/4	1	1	1/8		1/8	1.0		5	71		5
1	1	3/8	3/8	2/4	1	1	1/8		1/8	1.0	1	1	79		5
2	2	0	0	2/4	2	1	1/8		1/8	1.0		2	50		18
2	2	0	0	2/4	1	2	1/4		1/4	1.0		0	72		16
2	2	0	0	2/4	1	1	1/16		1/16	1.0	-1	1	79		10
2	2	1/16	1/16	2/4	1	1	1/16		1/16	1.0		6	78		11
2	2	1/8	1/8	2/4	2	1	1/8		1/8	1.0		0	60		19
2	2	1/8	1/8	2/4	2	1	1/8		1/8	1.0		2	62		19
2	2	1/8	1/8	2/4	2	1	1/8		1/8	1.0		6	66		19
2	2	1/8	1/8	2/4	1	1	1/16		1/16	1.0		4	76		12
2	2	3/16	3/16	2/4	1	1	1/16		1/16	1.0		6	78		13
2	2	1/4	1/4	2/4	2	1	1/8		1/8	1.0		1	55		20
2	2	1/4	1/4	2/4	1	2	1/8		1/8	1.0		5	71		17
2	2	1/4	1/4	2/4	1	1	1/8		1/8	1.0		1	79		14
2	2	3/8	3/8	2/4	2	1	1/8		1/8	1.0		5	59		21
2	2	3/8	3/8	2/4	2	1	1/8		1/8	1.0		2	62		21
2	2	3/8	3/8	2/4	2	1	1/8		1/8	1.0		1	67		21
2	2	3/8	3/8	2/4	1	1	1/8		1/8	1.0		5	83		15
3	3	0	0	2/4	2	1	1/8		1/8	1.0		1	55		28
3	3	0	0	2/4	1	1	1/16		1/16	1.0		2	74		22
3	3	1/16	1/16	2/4	1	1	1/16		1/16	1.0		7	73		23
3	3	1/8	1/8	2/4	2	1	1/8		1/8	1.0		5	59		29
3	3	1/8	1/8	2/4	2	1	1/8		1/8	1.0		2	62		29
3	3	1/8	1/8	2/4	2	1	1/8		1/8	1.0		1	67		29
3	3	1/8	1/8	2/4	1	1	1/16		1/16	1.0		2	74		24
3	3	3/16	3/16	2/4	1	1	1/16		1/16	1.0		4	76		25
3	3	1/4	1/4	2/4	2	1	1/8		1/8	1.0		1	55		30
3	3	1/4	1/4	2/4	1	1	1/8		1/8	1.0		2	74		26
3	3	3/8	3/8	2/4	2	1	1/8		1/8	1.0		5	59		31
3	3	3/8	3/8	2/4	2	1	1/8		1/8	1.0		2	62		31
3	3	3/8	3/8	2/4	2	1	1/8		1/8	1.0		1	67		31
3	3	3/8	3/8	2/4	1	1	1/8		1/8	1.0		5	83		27
3	3	3/8	3/8	2/4	1	1	1/8		1/8	1.0		2	86		27
4	4	0	0	2/4	2	1	1/8		1/8	1.0		2	50		39
4	4	0	0	2/4	1	2	1/4		1/4	1.0		6	78		37
4	4	0	0	2/4	1	2	1/4		1/4	1.0		0	84		37
4	4	0	0	2/4	1	1	1/16		1/16	1.0		4	88		32
4	4	1/16	1/16	2/4	1	1	1/16		1/16	1.0		2	86		33
4	4	1/8	1/8	2/4	2	1	1/8		1/8	1.0		0	60		40
4	4	1/8	1/8	2/4	2	1	1/8		1/8	1.0		2	62		40
4	4	1/8	1/8	2/4	2	1	1/8		1/8	1.0		6	66		40
4	4	1/8	1/8	2/4	1	1	1/16		1/16	1.0		4	88		34
4	4	3/16	3/16	2/4	1	1	1/16		1/16	1.0		2	86		35
4	4	1/4	1/4	2/4	2	1	1/8		1/8	1.0		1	55		41
4	4	1/4	1/4	2/4	1	1	1/8		1/8	1.0		1	79		36
4	4	1/4	1/4	2/4	1	2	1/8		1/8	1.0		1	79		38
4	4	3/8	3/8	2/4	2	1	1/8		1/8	1.0		5	59		42
4	4	3/8	3/8	2/4	2	1	1/8		1/8	1.0		2	62		42
4	4	3/8	3/8	2/4	2	1	1/8		1/8	1.0		1	67		42
